Tiempo,Carga,Extensión de tracción
67.3,12101.24023,2.98855
67.4,12100.62012,2.99686
67.5,12100.9873,3.00511
67.6,12102.14941,3.01341
67.7,12103.80957,3.02177
67.8,12105.83984,3.03018
67.9,12105.20703,3.03848
68,12104.79004,3.04673
68.1,12105.94727,3.05509
68.2,12107.61621,3.06339
68.3,12109.63086,3.07175
68.4,12109.78613,3.08016
68.5,12109.10352,3.08852
68.6,12108.65137,3.09677
68.7,12109.60547,3.10512
68.8,12111.16504,3.11343
68.9,12112.73926,3.12184
69,12112.01367,3.13014
69.1,12112.09473,3.13844
69.2,12112.1377,3.14675
69.3,12113.34375,3.155
69.4,12116.03613,3.16341
69.5,12116.08203,3.17182
69.6,12114.6123,3.18012
69.7,12115.29004,3.18843
69.8,12116.00684,3.19673
69.9,12117.69434,3.20503
70,12118.48633,3.2135
70.1,12117.40625,3.22186
70.2,12116.69434,3.23016
70.3,12116.63379,3.23841
70.4,12118.89941,3.24677
70.5,12119.83691,3.25512
70.6,12119.38086,3.26348
70.7,12118.64062,3.27178
70.8,12118.7168,3.28009
70.9,12119.41602,3.28839
71,12121.10547,3.29675
71.1,12121.2666,3.30516
71.2,12119.81934,3.31352
71.3,12119.81055,3.32177
71.4,12119.36523,3.33007
71.5,12120.85938,3.33843
71.6,12122.22168,3.34678
71.7,12121.54883,3.3552
71.8,12119.77344,3.3635
71.9,12119.57812,3.37169
72,12120.72754,3.38005
72.1,12122.76074,3.38841
72.2,12121.97266,3.39682
72.3,12120.65332,3.40518
72.4,12119.45117,3.41337
72.5,12119.87695,3.42168
72.6,12121.87012,3.43003
72.7,12122.36426,3.43845
72.8,12121.57031,3.44686
72.9,12119.48145,3.45511
73,12120.12109,3.46341
73.1,12120.32715,3.47171
73.2,12121.98047,3.48012
73.3,12121.19824,3.48853
73.4,12119.11426,3.49684
73.5,12118.23438,3.50509
73.6,12118.89648,3.51339
73.7,12119.79492,3.52169
73.8,12119.44141,3.53011
73.9,12118.99902,3.53852
74,12117.89355,3.54687
74.1,12116.88867,3.55507
74.2,12117.85352,3.56337
74.3,12118.0127,3.57173
74.4,12117.41699,3.58019
74.5,12115.23242,3.58855
74.6,12114.24609,3.59675
74.7,12115.01172,3.60505
74.8,12115.10645,3.61341
74.9,12115.35254,3.62187
75,12112.47266,3.63018
75.1,12110.75391,3.63843
75.2,12110.78516,3.64668
75.3,12111.63965,3.65503
75.4,12112.39355,3.66344
75.5,12110.60645,3.67186
75.6,12108.04883,3.68016
75.7,12107.32422,3.68836
75.8,12107.80859,3.69671
75.9,12107.75391,3.70507
76,12106.69434,3.71353
76.1,12104.44238,3.72189
76.2,12102.56738,3.73014
76.3,12101.9248,3.73839
76.4,12101.50195,3.74664
76.5,12101.96191,3.75511
76.6,12100.18066,3.76352
76.7,12097.3916,3.77182
76.8,12097.02148,3.78012
76.9,12095.09961,3.78837
77,12095.67676,3.79673
77.1,12094.69336,3.80514
77.2,12091.50977,3.81355
77.3,12089.71875,3.8218
77.4,12088.67188,3.83005
77.5,12088.15039,3.83841
77.6,12087.07324,3.84682
77.7,12084.74316,3.85523
77.8,12081.66504,3.86348
77.9,12079.95996,3.87173
78,12079.18457,3.88003
78.1,12079.66504,3.88844
78.2,12076.47754,3.89686
78.3,12073.19629,3.90516
78.4,12071.37988,3.91341
78.5,12070.33105,3.92171
78.6,12069.76855,3.93002
78.7,12068.23438,3.93848
78.8,12065.1543,3.94689
78.9,12061.88672,3.95509
79,12060.18066,3.96339
79.1,12058.47852,3.97169
79.2,12057.36914,3.98016
79.3,12053.97461,3.98852
79.4,12051.26855,3.99687
79.5,12048.01367,4.00502
79.6,12046.17969,4.01337
79.7,12045.11523,4.02173
79.8,12043.60938,4.03014
79.9,12039.18848,4.0385
80,12036.01465,4.0468
80.1,12033.55957,4.055
80.2,12031.81836,4.06341
80.3,12029.82324,4.07177
80.4,12026.68164,4.08023
80.5,12022.22559,4.08853
80.6,12019.0625,4.09668
80.7,12017.34961,4.10503
80.8,12015.19629,4.11339
80.9,12012.00586,4.12186
81,12008.14551,4.13021
81.1,12003.91113,4.13841
81.2,12001.5127,4.14666
81.3,12000.1543,4.15507
81.4,11996.43848,4.16343
81.5,11993.35742,4.17184
81.6,11989.32129,4.18014
81.7,11985.78223,4.18839
81.8,11982.93359,4.19675
81.9,11980.55371,4.20511
82,11977.5,4.21352
82.1,11972.39355,4.22187
82.2,11968.22363,4.23007
82.3,11965.48535,4.23837
82.4,11962.43066,4.24673
82.5,11959.69336,4.25514
82.6,11955.46094,4.26355
82.7,11949.62402,4.2718
82.8,11946.44238,4.28
82.9,11943.96875,4.28841
83,11940.76172,4.29677
83.1,11937.3916,4.30523
83.2,11931.76074,4.31348
83.3,11927.32812,4.32173
83.4,11923.59863,4.33003
83.5,11921.5,4.33839
83.6,11917.29883,4.34686
83.7,11912.10254,4.35521
83.8,11907.20996,4.36346
83.9,11903.37891,4.37171
84,11899.36914,4.38002
84.1,11896.47363,4.38843
84.2,11892.7373,4.39689
84.3,11887.31836,4.40519
84.4,11882.87305,4.41339
84.5,11878.5293,4.42175
84.6,11874.63379,4.43011
84.7,11871.0459,4.43846
84.8,11866.24805,4.44687
84.9,11860.72559,4.45512
85,11856.12402,4.46337
85.1,11852.14746,4.47173
85.2,11848.09961,4.48014
85.3,11843.66699,4.48855
85.4,11837.92383,4.4968
85.5,11832.94629,4.50505
85.6,11829.05273,4.51341
85.7,11824.75586,4.52177
85.8,11821.2168,4.53018
85.9,11814.86816,4.53848
86,11809.73242,4.54673
86.1,11805.22559,4.55503
86.2,11800.97852,4.56339
86.3,11796.83496,4.5718
86.4,11791.92676,4.58021
86.5,11785.75879,4.58852
86.6,11780.42871,4.59677
86.7,11775.56543,4.60507
86.8,11771.63672,4.61343
86.9,11766.99805,4.62184
87,11761.39648,4.63019
87.1,11755.375,4.63844
87.2,11749.46191,4.64675
87.3,11745.08984,4.655
87.4,11741.68457,4.66346
87.5,11736.53711,4.67187
87.6,11729.47559,4.68012
87.7,11724.33301,4.68837
87.8,11718.57031,4.69673
87.9,11714.50195,4.70514
88,11710.03223,4.7135
88.1,11703.59863,4.72186
88.2,11697.32227,4.73011
88.3,11691.58594,4.73836
88.4,11687.70312,4.74677
88.5,11682.65039,4.75512
88.6,11676.50781,4.76348
88.7,11670.53418,4.77178
88.8,11664.63965,4.78003
88.9,11659.46484,4.78839
89,11654.93555,4.7968
89.1,11649.73828,4.80511
89.2,11642.61816,4.81346
89.3,11637.11035,4.82171
89.4,11630.87207,4.83007
89.5,11626.10449,4.83848
89.6,11620.99805,4.84684
89.7,11615.04297,4.85519
89.8,11608.0957,4.8635
89.9,11601.79102,4.87175
90,11596.55957,4.88005
90.1,11592.30664,4.88846
90.2,11586.45898,4.89682
90.3,11578.99316,4.90518
90.4,11571.65137,4.91337
90.5,11566.44824,4.92168
90.6,11561.73926,4.93009
90.7,11556.1582,4.9385
90.8,11549.82715,4.94686
90.9,11542.06641,4.95511
91,11535.59082,4.96336
91.1,11530.61328,4.97171
91.2,11525.82617,4.98012
91.3,11519.08398,4.98853
91.4,11511.38867,4.99678
91.5,11504.37012,5.00503
91.6,11498.51074,5.01339
91.7,11493.32129,5.02175
91.8,11488.04785,5.03011
91.9,11481.26953,5.03846
92,11474.26367,5.04682
92.1,11467.19238,5.05507
92.2,11461.83008,5.06343
92.3,11456.26172,5.07178
92.4,11450.01172,5.08014
92.5,11442.63086,5.0885
92.6,11435.10254,5.09675
92.7,11428.33301,5.10505
92.8,11423.55664,5.11346
92.9,11417.48145,5.12182
93,11409.1875,5.13018
93.1,11402.21973,5.13843
93.2,11395.37793,5.14673
93.3,11389.7207,5.15503
93.4,11384.75293,5.16344
93.5,11377.47363,5.17186
93.6,11369.31445,5.18011
93.7,11361.96387,5.18836
93.8,11356.21777,5.19677
93.9,11350.3584,5.20512
94,11343.27246,5.21353
94.1,11335.30176,5.22184
94.2,11327.68945,5.23014
94.3,11320.58691,5.23844
94.4,11314.97949,5.24675
94.5,11309.2373,5.25511
94.6,11302.33301,5.26346
94.7,11293.67383,5.27177
94.8,11286.58398,5.28007
94.9,11279.33789,5.28837
95,11274.0498,5.29668
95.1,11267.98145,5.30514
95.2,11259.02344,5.3135
95.3,11251.45215,5.32175
95.4,11244.49414,5.33005
95.5,11238.88379,5.33846
95.6,11232.26953,5.34682
95.7,11224.82422,5.35518
95.8,11215.52832,5.36348
95.9,11208.28516,5.37178
96,11201.11035,5.38009
96.1,11195.73633,5.38844
96.2,11188.59766,5.3968
96.3,11180.07324,5.40511
96.4,11172.14062,5.41341
96.5,11164.94824,5.42177
96.6,11158.57324,5.43007
96.7,11152.18457,5.43848
96.8,11143.5625,5.44684
96.9,11134.95215,5.45519
97,11127.29883,5.4635
97.1,11119.87305,5.47175
97.2,11113.74707,5.48016
97.3,11105.46582,5.48852
97.4,11097.43359,5.49687
97.5,11088.89648,5.50507
97.6,11081.79297,5.51337
97.7,11075.57227,5.52173
97.8,11069.02148,5.53009
97.9,11059.85156,5.53844
98,11051.07031,5.54675
98.1,11043.49902,5.55505
98.2,11036.66309,5.5633
98.3,11030.41406,5.57176
98.4,11022.16797,5.58018
98.5,11012.52637,5.58853
98.6,11004.09277,5.59673
98.7,10996.88184,5.60509
98.8,10990.75977,5.61339
98.9,10983.12402,5.6218
99,10973.89453,5.63021
99.1,10964.38672,5.63846
99.2,10956.46777,5.64671
99.3,10950.375,5.65507
99.4,10942.78125,5.66343
99.5,10934.84961,5.67184
99.6,10925.70215,5.68019
99.7,10916.43555,5.68844
99.8,10909.18457,5.6968
99.9,10901.5957,5.70511
100,10894.21094,5.71352
100.1,10884.86719,5.72187
100.2,10875.27441,5.73012
100.3,10867.37207,5.73843
100.4,10859.89746,5.74673
100.5,10853.06445,5.75514
100.6,10844.27246,5.76355
100.7,10833.88672,5.7718
100.8,10825.12012,5.78005
100.9,10818.41504,5.78841
101,10811.2373,5.79671
101.1,10802.87598,5.80518
101.2,10793.13477,5.81348
101.3,10783.60449,5.82173
101.4,10775.61719,5.83003
101.5,10769.40527,5.83839
101.6,10761.13379,5.8468
101.7,10750.61719,5.85521
101.8,10740.77539,5.86346
101.9,10732.93457,5.87177
102,10724.5127,5.88002
102.1,10717.81055,5.88843
102.2,10709.05762,5.89684
102.3,10699.3877,5.90519
102.4,10690.07227,5.91344
102.5,10681.13867,5.92175
102.6,10673.44922,5.93005
102.7,10665.71875,5.93846
102.8,10656.23535,5.94687
102.9,10645.77539,5.95518
103,10636.94824,5.96343
103.1,10629.31348,5.97173
103.2,10621.49805,5.98014
103.3,10611.77148,5.98855
103.4,10600.89941,5.99685
103.5,10591.63281,6.00505
103.6,10583.54199,6.01335
103.7,10575.58984,6.02171
103.8,10567.49023,6.03018
103.9,10556.77637,6.03848
104,10547.03223,6.04673
104.1,10538.18262,6.05509
104.2,10529.98828,6.06339
104.3,10521.9375,6.0718
104.4,10511.85742,6.08021
104.5,10501.77344,6.08852
104.6,10491.94824,6.09677
104.7,10483.2793,6.10507
104.8,10475.17871,6.11343
104.9,10466.23828,6.12184
105,10455.76465,6.1302
105.1,10445.77832,6.13844
105.2,10436.05566,6.14669
105.3,10427.96289,6.155
105.4,10420.05664,6.16346
105.5,10409.62109,6.17187
105.6,10398.90332,6.18018
105.7,10389.51855,6.18843
105.8,10380.28223,6.19673
105.9,10371.70996,6.20509
106,10362.66797,6.21355
106.1,10350.71387,6.22185
106.2,10341.21777,6.23016
106.3,10331.64355,6.23841
106.4,10323.69238,6.24671
106.5,10314.22168,6.25512
106.6,10303.38672,6.26353
106.7,10292.88477,6.27184
106.8,10282.76465,6.28009
106.9,10274.12012,6.28834
107,10265.5791,6.29675
107.1,10255.40039,6.30516
107.2,10244.89062,6.31351
107.3,10234.90234,6.32177
107.4,10224.4873,6.33007
107.5,10214.94043,6.33843
107.6,10205.75586,6.34678
107.7,10195.83398,6.35519
107.8,10184.63379,6.36344
107.9,10174.52246,6.37169
108,10164.64453,6.38005
108.1,10155.4082,6.38846
108.2,10144.8584,6.39682
108.3,10134.60059,6.40518
108.4,10123.34766,6.41337
108.5,10114.01172,6.42168
108.6,10105.37695,6.43003
108.7,10095.10352,6.4385
108.8,10084.0127,6.44685
108.9,10072.42383,6.45516
109,10062.12695,6.46341
109.1,10052.87793,6.47171
109.2,10043.82227,6.48012
109.3,10032.91309,6.48859
109.4,10020.67676,6.49684
109.5,10009.74609,6.50509
109.6,9999.96191,6.51339
109.7,9989.89258,6.52175
109.8,9979.9082,6.53016
109.9,9968.97559,6.53857
110,9957.84082,6.54682
110.1,9946.99219,6.55502
110.2,9937.35938,6.56337
110.3,9927.16211,6.57173
110.4,9916.72168,6.58019
110.5,9904.91699,6.58855
110.6,9893.53809,6.59669
110.7,9883.16602,6.60505
110.8,9873.60254,6.61341
110.9,9862.78613,6.62187
111,9850.97168,6.63018
111.1,9838.97559,6.63843
111.2,9828.48535,6.64668
111.3,9818.45508,6.65503
111.4,9808.45508,6.66344
111.5,9796.82031,6.67191
111.6,9784.54785,6.68011
111.7,9773.53613,6.68835
111.8,9763.10254,6.69671
111.9,9753.16309,6.70512
112,9741.84668,6.71359
112.1,9729.84766,6.72184
112.2,9718.25879,6.73014
112.3,9707.07227,6.73839
112.4,9696.69434,6.74675
112.5,9685.61523,6.75516
112.6,9674.47754,6.76352
112.7,9661.93262,6.77177
112.8,9651.0752,6.78002
112.9,9639.61914,6.78837
113,9629.14844,6.79673
113.1,9617.8623,6.80519
113.2,9605.12695,6.81355
113.3,9593.35449,6.82175
113.4,9581.7334,6.83005
113.5,9570.93457,6.83841
113.6,9560.06934,6.84682
113.7,9547.83105,6.85523
113.8,9535.20312,6.86348
113.9,9523.17871,6.87168
114,9512.20996,6.88003
114.1,9502.18848,6.88844
114.2,9489.98828,6.89685
114.3,9477.17969,6.90511
114.4,9465.28223,6.91335
114.5,9453.60645,6.92171
114.6,9442.93457,6.93007
114.7,9431.28125,6.93853
114.8,9418.68164,6.94684
114.9,9405.4873,6.95514
115,9393.73047,6.96344
115.1,9381.70508,6.97175
115.2,9370.44336,6.98016
115.3,9358.48633,6.98851
115.4,9345.99414,6.99682
115.5,9332.84961,7.00507
115.6,9320.87598,7.01337
115.7,9309.72363,7.02178
115.8,9298.34473,7.03019
115.9,9285.1084,7.0385
116,9272.55957,7.0468
116.1,9260.20605,7.05505
116.2,9247.81543,7.06341
116.3,9236.58691,7.07177
116.4,9224.08203,7.08018
116.5,9210.21387,7.08848
116.6,9197.50098,7.09668
116.7,9185.1084,7.10509
116.8,9173.41406,7.11344
116.9,9161.39355,7.12185
117,9147.875,7.13016
117.1,9134.44922,7.13841
117.2,9121.84375,7.14671
117.3,9109.73535,7.15507
117.4,9097.64453,7.16348
117.5,9085.05176,7.17184
117.6,9071.97754,7.18014
117.7,9058.26074,7.18839
117.8,9045.6748,7.19675
117.9,9033.6543,7.2051
118,9020.9541,7.21352
118.1,9007.16992,7.22187
118.2,8993.59668,7.23012
118.3,8980.38477,7.23843
118.4,8967.8877,7.24673
118.5,8955.60352,7.25509
118.6,8942.60449,7.2635
118.7,8927.4375,7.2718
118.8,8914.69043,7.28
118.9,8901.83008,7.28841
119,8889.63867,7.29682
119.1,8876.51074,7.30518
119.2,8862.61719,7.31348
119.3,8848.33887,7.32173
119.4,8835.02148,7.33009
119.5,8822.85254,7.33844
119.6,8809.28223,7.34685
119.7,8795.39746,7.35516
119.8,8781,7.36346
119.9,8767.42676,7.37177
120,8753.44727,7.38007
120.1,8741.29785,7.38843
120.2,8728.16699,7.39684
120.3,8713.5791,7.40514
120.4,8698.60547,7.41339
120.5,8685.62012,7.42175
120.6,8672.0752,7.43005
120.7,8659.30859,7.43846
120.8,8645.29297,7.44682
120.9,8629.68457,7.45512
121,8615.3623,7.46343
121.1,8602.07227,7.47173
121.2,8589,7.48014
121.3,8575.13281,7.48855
121.4,8560.00098,7.4968
121.5,8544.96973,7.50505
121.6,8531.40723,7.51341
121.7,8518.00977,7.52177
121.8,8504.49609,7.53018
121.9,8489.41016,7.53848
122,8474.1582,7.54673
122.1,8459.98633,7.55503
122.2,8446.01562,7.56344
122.3,8432.49512,7.5718
122.4,8418.03613,7.58021
122.5,8402.05078,7.58852
122.6,8386.95215,7.59676
122.7,8372.49609,7.60512
122.8,8359.14355,7.61348
122.9,8344.46973,7.62184
123,8329.40918,7.63014
123.1,8313.94434,7.6385
123.2,8298.45312,7.64675
123.3,8284.47266,7.65505
123.4,8270.9082,7.66341
123.5,8255.86914,7.67187
123.6,8240.01562,7.68012
123.7,8224.78516,7.68837
123.8,8209.54297,7.69673
123.9,8195.72168,7.70509
124,8181.39014,7.7135
124.1,8164.50098,7.7218
124.2,8148.99707,7.73016
124.3,8133.2417,7.73835
124.4,8119.61523,7.74677
124.5,8104.5,7.75512
124.6,8088.9292,7.76348
124.7,8072.90479,7.77178
124.8,8056.55469,7.78009
124.9,8041.90381,7.78839
125,8027.93848,7.7968
125.1,8012.13672,7.80516
125.2,7996.09766,7.81346
125.3,7979.39209,7.82177
125.4,7963.74121,7.83012
125.5,7948.44287,7.83843
125.6,7934.24316,7.84678
125.7,7917.74512,7.85525
125.8,7900.20605,7.8635
125.9,7884.29248,7.87175
126,7868.68408,7.88011
126.1,7853.99512,7.88846
126.2,7838.0083,7.89682
126.3,7821.00586,7.90518
126.4,7803.77783,7.91343
126.5,7787.91895,7.92173
126.6,7773.21094,7.93009
126.7,7757.05762,7.93844
126.8,7740.45459,7.94685
126.9,7722.71826,7.9551
127,7706.16162,7.96341
127.1,7690.14258,7.97171
127.2,7675.02588,7.98007
127.3,7658.19287,7.98853
127.4,7640.604,7.99678
127.5,7623.34131,8.00509
127.6,7606.271,8.01344
127.7,7590.61914,8.02169
127.8,7574.88721,8.0301
127.9,7557.72656,8.03846
128,7539.71924,8.04682
128.10001,7522.75781,8.05512
128.2,7505.85156,8.06343
128.3,7489.79785,8.07178
128.39999,7473.17432,8.08019
128.5,7454.55371,8.08855
128.60001,7436.10059,8.09675
128.7,7419.17969,8.1051
128.8,7403.20557,8.11341
128.89999,7386.33984,8.12182
129,7367.28711,8.13018
129.10001,7348.54199,8.13843
129.2,7330.87793,8.14673
129.3,7314.71631,8.15503
129.39999,7297.52051,8.16344
129.5,7279.81055,8.17185
129.60001,7260.50488,8.1801
129.7,7242.11279,8.18835
129.8,7224.75488,8.19671
129.89999,7207.88623,8.20507
130,7189.86084,8.21353
130.10001,7170.8042,8.22184
130.2,7151.34033,8.23019
130.3,7132.73242,8.23839
130.39999,7116.0166,8.24675
130.5,7098.07324,8.2551
130.60001,7079.58643,8.26352
130.7,7059.14502,8.27182
130.8,7041.12158,8.28007
130.89999,7021.36719,8.28837
131,7003.62891,8.29668
131.10001,6985.16504,8.30514
131.2,6964.60596,8.31355
131.3,6943.49365,8.32175
131.39999,6922.91064,8.3301
131.5,6901.79688,8.33841
131.60001,6879.76611,8.34682
131.7,6850.66406,8.35523
131.8,6785.31201,8.36353
131.89999,6309.48584,8.37189
132,5899.48535,8.38014
132.10001,5606.58936,8.38855
132.2,5305.30371,8.39691
132.3,4989.75439,8.40521
132.388,2849.62891,8.41325
